Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
49,Nobuyoshi Yamada*,32,ORX,Fgn,,3,2,.600,2.08,2.70,50,,,0,0,0,43.1,30,13,10,1,16,2,44,2,0,0,177,1.062,6.2,0.2,3.3,9.1,2.75,player.fcgi?id=yamada001nob
50,Shunpeita Yamashita,21,ORX,Fgn,,3,6,.333,3.38,3.52,14,,,1,0,0,64.0,49,25,24,5,31,0,83,5,0,4,269,1.250,6.9,0.7,4.4,11.7,2.68,player.fcgi?id=yamash000shu
51,Rikuto Yokoyama,22,LOT,Fgn,,3,1,.750,1.71,1.71,43,,,0,0,3,42.0,27,8,8,1,13,3,37,5,0,2,169,0.952,5.8,0.2,2.8,7.9,2.85,player.fcgi?id=yokoya000rik
52,Albert Abreu,28,SEI,Fgn,,2,5,.286,2.39,3.12,52,,,0,0,28,49.0,38,17,13,1,20,3,33,3,0,0,202,1.184,7.0,0.2,3.7,6.1,1.65,player.fcgi?id=abreu-000alb
53,Kouya Fujii,27,FKA,Fgn,,2,1,.667,1.80,2.48,40,,,0,0,1,40.0,28,11,8,2,20,1,45,1,0,3,170,1.200,6.3,0.5,4.5,10.1,2.25,player.fcgi?id=fujii-000koy
54,Ren Fukushima,21,NPN,Fgn,,2,3,.400,3.54,4.87,12,,,0,0,0,61.0,51,33,24,6,17,0,35,3,0,1,249,1.115,7.5,0.9,2.5,5.2,2.06,player.fcgi?id=fukush000ren
55,Hitomi Honda,24,ORX,Fgn,,2,0,1.000,2.86,2.86,23,,,0,0,0,22.0,21,7,7,1,5,0,21,1,1,1,92,1.182,8.6,0.4,2.0,8.6,4.20,player.fcgi?id=honda-000hit
56,Takahide Ikeda,29,NPN,Fgn,,2,1,.667,3.80,3.80,29,,,0,0,0,23.2,14,10,10,4,9,0,22,2,0,2,93,0.972,5.3,1.5,3.4,8.4,2.44,player.fcgi?id=ikeda-000tak
57,Daiki Iwashita,27,LOT,Fgn,,2,0,1.000,2.91,2.91,21,,,0,0,0,21.2,13,7,7,2,9,0,13,0,0,2,85,1.015,5.4,0.8,3.7,5.4,1.44,player.fcgi?id=iwashi000dai
58,Dallas Keuchel*,36,LOT,Fgn,,2,4,.333,3.60,4.05,8,,,0,0,0,40.0,37,18,16,3,15,0,29,2,0,0,170,1.300,8.3,0.7,3.4,6.5,1.93,player.fcgi?id=keuche001dal
59,Ryuji Kitaura*,24,NPN,Fgn,,2,1,.667,3.18,6.35,12,,,0,0,0,11.1,15,8,4,2,3,1,6,0,0,0,52,1.588,11.9,1.6,2.4,4.8,2.00,player.fcgi?id=kitaur000ryu
60,Seiryu Kotajima,25,ORX,Fgn,,2,1,.667,0.79,1.18,50,,,0,0,0,45.2,30,6,4,2,17,1,43,1,0,1,179,1.029,5.9,0.4,3.4,8.5,2.53,player.fcgi?id=kotaji000sei
61,Haru Matsumoto*,23,FKA,Fgn,,2,1,.667,2.81,2.81,5,,,0,0,0,16.0,12,5,5,1,4,0,17,1,0,0,63,1.000,6.8,0.6,2.3,9.6,4.25,player.fcgi?id=matsum001har
62,Yuki Matsumoto,28,FKA,Fgn,,2,2,.500,2.89,3.28,50,,,0,0,14,46.2,37,17,15,3,17,3,47,4,0,0,198,1.157,7.1,0.6,3.3,9.1,2.76,player.fcgi?id=matsum003yuk
63,Shuto Ogata,25,FKA,Fgn,,2,0,1.000,2.31,3.09,12,,,0,0,0,11.2,8,4,3,0,3,0,15,0,1,0,46,0.943,6.2,0.0,2.3,11.6,5.00,player.fcgi?id=ogata-000shu
64,Kyosuke Saito,19,ORX,Fgn,,2,3,.400,4.06,4.78,8,,,0,0,0,37.2,29,20,17,2,19,0,28,2,0,1,165,1.274,6.9,0.5,4.5,6.7,1.47,player.fcgi?id=saito-000kyo
65,Tomohito Sakai,31,TOH,Fgn,,2,2,.500,2.33,2.53,49,,,0,0,0,46.1,35,13,12,0,15,2,29,2,0,0,185,1.079,6.8,0.0,2.9,5.6,1.93,player.fcgi?id=sakai-000tom
66,Shunsuke Sato*,24,SEI,Fgn,,2,1,.667,1.69,1.93,45,,,0,0,0,37.1,20,8,7,1,17,1,31,2,0,1,149,0.991,4.8,0.2,4.1,7.5,1.82,player.fcgi?id=sato--001shu
67,Keisuke Sawada,30,LOT,Fgn,,2,1,.667,3.60,4.05,21,,,0,0,0,20.0,22,9,8,0,8,1,8,1,0,0,89,1.500,9.9,0.0,3.6,3.6,1.00,player.fcgi?id=sawada000kei
68,Ryotaro Sawayanagi,24,FKA,Fgn,,2,1,.667,3.38,3.38,11,,,0,0,0,10.2,7,4,4,0,4,0,9,1,0,1,42,1.031,5.9,0.0,3.4,7.6,2.25,player.fcgi?id=sawaya000ryo
69,Toshihiro Sugiura,32,NPN,Fgn,,2,0,1.000,1.56,2.08,40,,,0,0,3,34.2,24,8,6,1,12,0,23,1,0,4,137,1.038,6.2,0.3,3.1,6.0,1.92,player.fcgi?id=sugiur000tos
70,Shota Suzuki*,25,LOT,Fgn,,2,2,.500,0.73,1.28,51,,,0,0,5,49.1,32,7,4,2,18,2,42,1,0,1,194,1.014,5.8,0.4,3.3,7.7,2.33,player.fcgi?id=suzuki002sho
71,Sora Suzuki*,27,TOH,Fgn,,2,0,1.000,1.66,1.66,49,,,0,0,1,48.2,24,9,9,0,21,0,48,1,1,3,186,0.925,4.4,0.0,3.9,8.9,2.29,player.fcgi?id=suzuki000sor
72,Bo Takahashi,27,SEI,Fgn,,2,9,.182,3.22,3.84,33,,,0,0,0,72.2,70,31,26,4,27,2,48,6,0,2,315,1.335,8.7,0.5,3.3,5.9,1.78,player.fcgi?id=takaha000rod
73,Taito Takashima,24,ORX,Fgn,,2,2,.500,4.02,4.34,21,,,0,0,0,56.0,50,27,25,3,20,0,30,4,0,1,238,1.250,8.0,0.5,3.2,4.8,1.50,player.fcgi?id=takash000tai
74,Drew VerHagen,33,NPN,Fgn,,2,2,.500,3.12,3.67,9,,,0,0,0,49.0,44,20,17,5,10,0,41,2,0,2,199,1.102,8.1,0.9,1.8,7.5,4.10,player.fcgi?id=verhag000dre
75,Tsuyoshi Wada*,43,FKA,Fgn,,2,2,.500,3.76,4.10,8,,,0,0,0,26.1,27,12,11,2,4,0,18,2,0,0,108,1.177,9.2,0.7,1.4,6.2,4.50,player.fcgi?id=wada--001tsu
76,Hayato Yuge*,30,TOH,Fgn,,2,0,1.000,5.94,5.94,34,,,0,0,0,33.1,42,22,22,1,9,1,28,1,0,0,150,1.530,11.3,0.3,2.4,7.6,3.11,player.fcgi?id=yuge--000hay
77,Minato Aoyama,23,SEI,Fgn,,1,4,.200,2.78,3.34,6,,,1,1,0,32.1,30,12,10,3,12,0,13,0,0,0,139,1.299,8.4,0.8,3.3,3.6,1.08,player.fcgi?id=aoyama000min
78,James Dykstra,33,LOT,Fgn,,1,0,1.000,1.64,2.45,3,,,0,0,0,11.0,10,3,2,2,8,0,11,0,0,1,49,1.636,8.2,1.6,6.5,9.0,1.38,player.fcgi?id=dykstr001jam
79,Shinnosuke Hada*,20,SEI,Fgn,,1,3,.250,2.76,4.41,9,,,0,0,0,16.1,14,8,5,0,10,0,11,2,0,1,73,1.469,7.7,0.0,5.5,6.1,1.10,player.fcgi?id=hada--000shi
80,Yoshihisa Hirano,40,ORX,Fgn,,1,1,.500,4.22,8.44,12,,,0,0,7,10.2,19,10,5,1,5,0,11,0,0,0,58,2.250,16.0,0.8,4.2,9.3,2.20,player.fcgi?id=hirano001yos
81,Keisuke Honda,31,SEI,Fgn,,1,4,.200,4.11,4.70,31,,,0,0,0,30.2,36,16,14,3,14,3,18,1,0,4,140,1.630,10.6,0.9,4.1,5.3,1.29,player.fcgi?id=honda-000kei
82,Kazutomo Iguchi,30,ORX,Fgn,,1,2,.333,4.18,4.18,32,,,0,0,0,32.1,29,15,15,0,11,0,25,2,0,0,134,1.237,8.1,0.0,3.1,7.0,2.27,player.fcgi?id=iguchi000kaz
83,Shunsuke Iwai,22,FKA,Fgn,,1,1,.500,3.46,4.15,15,,,0,0,1,13.0,10,6,5,2,2,0,10,1,0,0,53,0.923,6.9,1.4,1.4,6.9,5.00,player.fcgi?id=iwai--000shu
84,Ryusei Kawano*,26,NPN,Fgn,,1,4,.200,2.13,2.13,52,,,0,0,0,42.1,33,10,10,5,11,4,33,1,0,4,168,1.039,7.0,1.1,2.3,7.0,3.00,player.fcgi?id=kawano000ryu
85,Riku Kikuchi,24,LOT,Fgn,,1,0,1.000,2.25,2.25,20,,,0,0,1,24.0,21,6,6,3,5,2,27,2,0,0,97,1.083,7.9,1.1,1.9,10.1,5.40,player.fcgi?id=kikuch000rik
86,Atsuya Kogita,25,ORX,Fgn,,1,1,.500,1.38,1.38,13,,,0,0,0,13.0,9,2,2,0,0,0,11,0,0,0,46,0.692,6.2,0.0,0.0,7.6,,player.fcgi?id=kogita000ats
87,Jun Maeda*,24,FKA,Fgn,,1,0,1.000,0.00,0.00,1,,,0,0,0,6.0,3,0,0,0,0,0,5,0,0,0,20,0.500,4.5,0.0,0.0,7.5,,player.fcgi?id=maeda-000jun
88,Naoya Masuda,34,LOT,Fgn,,1,4,.200,2.59,3.46,44,,,0,0,25,41.2,27,16,12,2,14,1,35,3,0,2,172,0.984,5.8,0.4,3.0,7.6,2.50,player.fcgi?id=masuda000nao
89,Katsuki Matayoshi,33,FKA,Fgn,,1,1,.500,3.54,3.76,40,,,0,0,0,40.2,37,17,16,2,10,2,24,3,0,0,168,1.156,8.2,0.4,2.2,5.3,2.40,player.fcgi?id=matayo000kat
90,Tomotaka Matsui,24,TOH,Fgn,,1,1,.500,6.75,7.15,7,,,0,0,0,22.2,30,18,17,1,14,0,10,0,0,1,109,1.941,11.9,0.4,5.6,4.0,0.71,player.fcgi?id=matsui000tom
